Location_ID,City,Latitude,Longitude,Distance_km,Priority,Package_Weight_kg,Delivery_Deadline
SAL062,Salem,11.6643,78.146,1804.5,Low,6.6,3-5 Days
ROO063,Roorkee,29.8543,77.888,152.4,Low,4.2,3-5 Days
NEL064,Nellore,14.4426,79.9865,1544.3,High,11.0,Same Day
BEL065,Belgaum (Belagavi),15.8497,74.4977,1459.2,Medium,20.3,Next Day
TIR066,Tirupati,13.6288,79.4192,1627.8,High,8.9,Same Day
KUR067,Kurukshetra,29.9695,76.8783,152.9,Low,3.5,3-5 Days
SIL068,Silchar,24.8333,92.7789,1830.6,Low,12.1,3-5 Days
IMP069,Imphal,24.817,93.9368,2063.5,Medium,7.4,Next Day
AGA070,Agartala,23.8315,91.2868,1812.4,Low,9.1,3-5 Days
AIZ071,Aizawl,23.7271,92.7176,2013.7,Low,5.2,3-5 Days
GAN072,Gangtok,27.3389,88.6065,1316.8,Medium,6.3,Next Day
POR073,Port Blair,11.6234,92.7265,3062.1,Low,4.8,3-5 Days
KAV074,Kavaratti,10.5626,72.6369,2321.4,Low,2.1,3-5 Days
PUD075,Puducherry,11.9416,79.8083,1779.5,Medium,10.6,Next Day
VEL076,Vellore,12.9165,79.1325,1691.2,Low,7.7,3-5 Days
JAL077,Jalalabad,30.6011,74.2568,415.3,Medium,19.8,Next Day
HOW078,Howrah,22.5958,88.2636,1301.7,Medium,22.5,Next Day
KOC079,Kochi,9.9312,76.2673,2041.8,High,15.4,Same Day
BHW080,Bhavnagar,21.7645,72.1519,868.3,Low,11.9,3-5 Days
BOK081,Bokaro,23.6693,86.1511,1053.9,Medium,8.6,Next Day
JAM082,Jamnagar,22.4707,70.0577,1002.3,Low,13.4,3-5 Days
SOL083,Solapur,17.6599,75.9064,1122.8,Medium,16.9,Next Day
DIN084,Dindigul,10.3624,77.9695,1901.2,Low,5.4,3-5 Days
TUM085,Tumkur,13.3379,77.1173,1697.6,Low,8.0,3-5 Days
BHA086,Bharatpur,27.2152,77.5,141.3,Low,6.0,3-5 Days
MAT087,Mathura,27.4924,77.6737,140.8,Medium,10.1,Next Day
HAR088,Haridwar,29.9457,78.1642,180.9,Medium,12.7,Next Day
RAE089,Rae Bareli,26.2085,81.2408,462.4,Low,9.3,3-5 Days
UNN090,Unnao,26.5393,80.488,411.6,Low,7.5,3-5 Days
MOR091,Moradabad,28.8389,78.776,128.2,Medium,14.4,Next Day
SAH092,Saharanpur,29.964,77.5361,133.0,Low,5.9,3-5 Days
JHA093,Jhansi,25.4484,78.5685,370.2,Medium,18.6,Next Day
GOR094,Gorakhpur,26.7606,83.3732,615.8,Low,11.5,3-5 Days
AJM095,Ajmer,26.4499,74.6399,349.7,Medium,20.2,Next Day
DEW096,Dewas,22.9623,76.0508,622.1,Low,4.1,3-5 Days
UJJ097,Ujjain,23.1765,75.7885,607.4,Medium,16.5,Next Day
ROU098,Rourkela,22.2604,84.8536,1110.7,Medium,13.8,Next Day
SIM099,Siliguri,26.7271,88.3953,1349.6,High,19.7,Same Day
DUR100,Dibrugarh,27.4728,94.912,2162.7,High,8.3,Same Day
