Agent_ID,Stop_Number,Location_ID,City,Priority,Distance_km,Package_Weight_kg,Delivery_Deadline,Zone,Agent_Total_Distance_km
Agent_3,2,MAD053,Madurai,High,1922.3,12.8,Same Day,South,34123.8
Agent_3,3,SHA044,Shillong,High,1491.2,10.2,Same Day,East,34123.8
Agent_3,4,SIM099,Siliguri,High,1349.6,19.7,Same Day,East,34123.8
Agent_3,5,BHU046,Bhubaneswar,High,1270.2,11.7,Same Day,East,34123.8
Agent_3,6,RAI047,Raipur,High,931.9,7.0,Same Day,Central,34123.8
Agent_3,7,IND014,Indore,High,669.2,6.2,Same Day,West,34123.8
Agent_3,8,LDH020,Ludhiana,High,285.8,5.6,Same Day,North,34123.8
Agent_3,9,IMP069,Imphal,Medium,2063.5,7.4,Next Day,East,34123.8
Agent_3,10,BLR003,Bangalore,Medium,1739.8,9.8,Next Day,South,34123.8
Agent_3,11,GUN061,Guntur,Medium,1379.2,14.7,Next Day,Other,34123.8
Agent_3,12,DUR039,Durgapur,Medium,1156.5,5.7,Next Day,East,34123.8
Agent_3,13,SOL083,Solapur,Medium,1122.8,16.9,Next Day,Other,34123.8
Agent_3,14,AUR028,Aurangabad,Medium,989.8,9.8,Next Day,West,34123.8
Agent_3,15,VDO018,Vadodara,Medium,809.3,9.4,Next Day,West,34123.8
Agent_3,16,SRI027,Srinagar,Medium,649.8,4.5,Next Day,North,34123.8
Agent_3,17,ALL057,Allahabad (Prayagraj),Medium,583.1,13.2,Next Day,Central,34123.8
Agent_3,18,KAN012,Kanpur,Medium,390.8,7.6,Next Day,Central,34123.8
Agent_3,19,CHA033,Chandigarh,Medium,239.3,21.1,Next Day,North,34123.8
Agent_3,20,JAI009,Jaipur,Medium,235.3,17.8,Next Day,Central,34123.8
Agent_3,21,DEL001,New Delhi,Medium,0.0,13.6,Next Day,North,34123.8
Agent_3,22,POR073,Port Blair,Low,3062.1,4.8,3-5 Days,Islands,34123.8
Agent_3,23,DIN084,Dindigul,Low,1901.2,5.4,3-5 Days,South,34123.8
Agent_3,24,SAL062,Salem,Low,1804.5,6.6,3-5 Days,South,34123.8
Agent_3,25,VEL076,Vellore,Low,1691.2,7.7,3-5 Days,South,34123.8
Agent_3,26,WAR060,Warangal,Low,1200.6,5.8,3-5 Days,Other,34123.8
Agent_3,27,JAM082,Jamnagar,Low,1002.3,13.4,3-5 Days,West,34123.8
Agent_3,28,JAB037,Jabalpur,Low,664.8,8.2,3-5 Days,Central,34123.8
Agent_3,29,BHO015,Bhopal,Low,595.7,3.0,3-5 Days,Central,34123.8
Agent_3,30,UNN090,Unnao,Low,411.6,7.5,3-5 Days,Central,34123.8
Agent_3,31,SHI052,Shimla,Low,289.5,8.4,3-5 Days,North,34123.8
Agent_3,32,ROO063,Roorkee,Low,152.4,4.2,3-5 Days,North,34123.8
Agent_3,33,SAH092,Saharanpur,Low,133.0,5.9,3-5 Days,North,34123.8
